state,file,row_index,awardee,amount,rural_class,designation,counts_as_rural,ccn,basis_type
GA,ga_great_health_awards.csv,112,Wellstar West Georgia Medical Center,750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,113,Wills Memorial Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,115,Irwin Hospital,,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,116,"Southwell Medical, Adel",,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,117,Piedmont Athens Regional,,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,118,Piedmont Augusta,,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,119,Piedmont Cartersville Medical Center,,STATE_SOURCE_RURAL,GA roster: In 126 Rural/Partial Rural Counties,TRUE,,
GA,ga_great_health_awards.csv,120,Piedmont Columbus Regional,,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,121,Piedmont Macon Medical Center,,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,129,Irwin County Hospital,356465,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,130,Clinch County Hospital Authority,1069395,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,131,Miller County Hospital,356465,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,132,Coffee Regional Medical Center,712930,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,133,"South Georgia Medical Center, Inc. (Berrien County)",356465,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,134,"South Georgia Medical Center, Inc. (Lanier County)",356465,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,135,Evans Memorial Hospital,712930,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,136,Miller County Hospital,356465,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,145,Morgan Medical Center,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,146,Crisp Regional Hospital,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,147,Hospital Authority of Stephens County,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,148,Piedmont Walton Hospital,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,149,Colquitt Regional Medical Center,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,150,"Piedmont Mountainside Hospital, Inc.",2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,151,University McDuffie County Regional Medical Center,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,152,Archbold Memorial Hospital,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,153,"Coffee Regional Medical Center, Inc.",2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,154,Atrium Health Navicent Baldwin,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,155,"Saint Joseph’s Hospital, Inc.",2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,156,Memorial Hospital and Manor,2000000,NOT_RECORDED,,FALSE,,
GA,ga_great_health_awards.csv,157,Union General Hospital,2000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,1,Fulton County Medical Center,872891,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,2,Geisinger Bloomsburg Hospital,700000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,3,Geisinger Jersey Shore Hospital,1000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,4,Geisinger Lewistown Hospital,1000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,5,Geisinger Medical Center,1000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,6,GSL Hospital dba Geisinger St. Luke's Hospital,948927,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,8,Lehigh Valley Hospital - Pocono,996328,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,9,St. Luke's Hospital - Monroe Campus,823050,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,10,Wellspan Chambersburg Hospital,940153,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,11,WellSpan Evangelical Community Hospital,1000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,13,Uniontown Hospital,678456,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,14,Lehigh Valley Hospital Schuylkill,997428,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,15,Armstrong County Memorial Hospital (ACMH),987284,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,16,Bucktail Medical Center,78895,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,17,"Carbon Schuylkill Community Hospital dba St. Luke's Miner's Memorial Hospital, St. Luke's Hospital-Miners Campus",909231,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,18,Clarion Hospital,751107,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,19,St. Luke's Hospital - Carbon Campus,996519,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,20,Barnes-Kasson County Hospital,1000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,23,Robert Packer Hospital,1000000,NOT_RECORDED,,FALSE,,
